FullName;Age;PhotoUrl;Nationality;BestPosition;Club
Raphaël Guerreiro;27;https://cdn.sofifa.com/players/209/889/22_60.png;Portugal;LB;Borussia Dortmund
Ricardo Barbosa Pereira;27;https://cdn.sofifa.com/players/210/243/22_60.png;Portugal;RB;Leicester City
Timo Werner;25;https://cdn.sofifa.com/players/212/188/22_60.png;Germany;ST;Chelsea
Mike Maignan;25;https://cdn.sofifa.com/players/215/698/22_60.png;France;GK;AC Milan
José María Giménez;26;https://cdn.sofifa.com/players/216/460/22_60.png;Uruguay;CB;Atlético de Madrid
Sebastián Coates;30;https://cdn.sofifa.com/players/197/655/22_60.png;Uruguay;CB;Sporting CP
John Stones;27;https://cdn.sofifa.com/players/203/574/22_60.png;England;CB;Manchester City
Allan Marques Loureiro;30;https://cdn.sofifa.com/players/199/914/22_60.png;Brazil;CDM;Everton
Kevin Volland;28;https://cdn.sofifa.com/players/200/610/22_60.png;Germany;ST;AS Monaco
Álvaro Borja Morata Martín;28;https://cdn.sofifa.com/players/201/153/22_60.png;Spain;ST;Juventus
Mauro Icardi;28;https://cdn.sofifa.com/players/201/399/22_60.png;Argentina;ST;Paris Saint-Germain
Leonardo Spinazzola;28;https://cdn.sofifa.com/players/202/884/22_60.png;Italy;LWB;Roma
Nick Pope;29;https://cdn.sofifa.com/players/203/841/22_60.png;England;GK;Burnley
Raúl Jiménez;30;https://cdn.sofifa.com/players/204/838/22_60.png;Mexico;ST;Wolverhampton Wanderers
Francesco Acerbi;33;https://cdn.sofifa.com/players/199/845/22_60.png;Italy;CB;Lazio
Kostas Manolas;30;https://cdn.sofifa.com/players/192/774/22_60.png;Greece;CB;Napoli
Antonio Rüdiger;28;https://cdn.sofifa.com/players/205/452/22_60.png;Germany;CB;Chelsea
Jérôme Boateng;32;https://cdn.sofifa.com/players/183/907/22_60.png;Germany;CB;Olympique Lyonnais
Fernando Luiz Rosa;36;https://cdn.sofifa.com/players/135/507/22_60.png;Brazil;CDM;Manchester City
Carlos Vela;32;https://cdn.sofifa.com/players/169/416/22_60.png;Mexico;RW;Los Angeles FC
Axel Witsel;32;https://cdn.sofifa.com/players/177/413/22_60.png;Belgium;CDM;Borussia Dortmund
Sergio Asenjo Andrés;32;https://cdn.sofifa.com/players/178/750/22_60.png;Spain;GK;Villarreal CF
Simon Kjær;32;https://cdn.sofifa.com/players/179/645/22_60.png;Denmark;CB;AC Milan
Edin Džeko;35;https://cdn.sofifa.com/players/180/930/22_60.png;Bosnia and Herzegovina;ST;Inter
Toby Alderweireld;32;https://cdn.sofifa.com/players/184/087/22_60.png;Belgium;CB;Free agent
Henrikh Mkhitaryan;32;https://cdn.sofifa.com/players/192/883/22_60.png;Armenia;CF;Roma
César Azpilicueta Tanco;31;https://cdn.sofifa.com/players/184/432/22_60.png;Spain;CB;Chelsea
Iker Muniain Goñi;28;https://cdn.sofifa.com/players/189/575/22_60.png;Spain;CAM;Athletic Club de Bilbao
Sergio Canales Madrazo;30;https://cdn.sofifa.com/players/190/286/22_60.png;Spain;CAM;Real Betis Balompié
Lukáš Hrádecký;31;https://cdn.sofifa.com/players/190/941/22_60.png;Finland;GK;Bayer 04 Leverkusen
Alex Sandro Lobo Silva;30;https://cdn.sofifa.com/players/191/043/22_60.png;Brazil;LB;Juventus
Bernd Leno;29;https://cdn.sofifa.com/players/192/563/22_60.png;Germany;GK;Arsenal
Jordan Pickford;27;https://cdn.sofifa.com/players/204/935/22_60.png;England;GK;Everton
Jules Koundé;22;https://cdn.sofifa.com/players/241/486/22_60.png;France;CB;Sevilla FC
Lucas Ocampos;26;https://cdn.sofifa.com/players/205/632/22_60.png;Argentina;LW;Sevilla FC
Presnel Kimpembe;25;https://cdn.sofifa.com/players/225/850/22_60.png;France;CB;Paris Saint-Germain
Joel Matip;29;https://cdn.sofifa.com/players/197/061/22_60.png;Cameroon;CB;Liverpool
Mateo Kovačić;27;https://cdn.sofifa.com/players/207/410/22_60.png;Croatia;CM;Chelsea
João Félix Sequeira;21;https://cdn.sofifa.com/players/242/444/22_60.png;Portugal;CAM;Atlético de Madrid
Federico Valverde;22;https://cdn.sofifa.com/players/239/053/22_60.png;Uruguay;CM;Real Madrid CF
Federico Chiesa;23;https://cdn.sofifa.com/players/235/805/22_60.png;Italy;CAM;Juventus
Édouard Mendy;29;https://cdn.sofifa.com/players/234/642/22_60.png;Senegal;GK;Chelsea
Mason Mount;22;https://cdn.sofifa.com/players/233/064/22_60.png;England;CAM;Chelsea
Ousmane Dembélé;24;https://cdn.sofifa.com/players/231/443/22_60.png;France;LM;FC Barcelona
Gabriel Fernando de Jesus;24;https://cdn.sofifa.com/players/230/666/22_60.png;Brazil;ST;Manchester City
Arthur Henrique Ramos Oliveira Melo;24;https://cdn.sofifa.com/players/230/658/22_60.png;Brazil;CM;Juventus
Ronaldo Jailson Cabrais Petri;29;https://cdn.sofifa.com/players/230/481/22_60.png;Brazil;RM;Grêmio
Aaron Wan-Bissaka;23;https://cdn.sofifa.com/players/229/880/22_60.png;England;RWB;Manchester United
Ferland Mendy;26;https://cdn.sofifa.com/players/228/618/22_60.png;France;LWB;Real Madrid CF
Juan Cuadrado;33;https://cdn.sofifa.com/players/193/082/22_60.png;Colombia;RB;Juventus
Mikel Merino Zazón;25;https://cdn.sofifa.com/players/225/193/22_60.png;Spain;CM;Real Sociedad
Duván Zapata;30;https://cdn.sofifa.com/players/215/333/22_60.png;Colombia;ST;Atalanta
Robin Gosens;26;https://cdn.sofifa.com/players/223/697/22_60.png;Germany;LWB;Atalanta
Thomas Lemar;25;https://cdn.sofifa.com/players/213/565/22_60.png;France;CAM;Atlético de Madrid
Pierre-Emile Højbjerg;25;https://cdn.sofifa.com/players/213/648/22_60.png;Denmark;CDM;Tottenham Hotspur
Ángel Correa;26;https://cdn.sofifa.com/players/214/997/22_60.png;Argentina;CAM;Atlético de Madrid
Thomas Partey;28;https://cdn.sofifa.com/players/209/989/22_60.png;Ghana;CM;Arsenal
Andrej Kramarić;30;https://cdn.sofifa.com/players/216/354/22_60.png;Croatia;ST;TSG Hoffenheim
José Ángel Esmoris Tasende;24;https://cdn.sofifa.com/players/220/651/22_60.png;Spain;LM;RB Leipzig
Lucas Hernández;25;https://cdn.sofifa.com/players/220/814/22_60.png;France;CB;FC Bayern München
Marco Asensio Willemsen;25;https://cdn.sofifa.com/players/220/834/22_60.png;Spain;CAM;Real Madrid CF
Wout Weghorst;28;https://cdn.sofifa.com/players/223/689/22_60.png;Netherlands;ST;VfL Wolfsburg
José Luís Gayà Peña;26;https://cdn.sofifa.com/players/211/688/22_60.png;Spain;LWB;Valencia CF
Alphonso Davies;20;https://cdn.sofifa.com/players/234/396/22_60.png;Canada;LB;FC Bayern München
